comment,replies,date,user_name,cleaned_comment,sentiment
MARK DECEMBER 19TH ON YOUR CALENDAR BEAST GAMES WILL BLOW YOUR MIND,"[{'username': '@itzrenon1508', 'comment': 'Ronaldo is the goat 🐐', 'date': '2024-11-30T16:59:32Z'}, {'username': '@jamesbac9900', 'comment': ""I'm excited to play it!!!"", 'date': '2024-11-30T16:59:32Z'}, {'username': '@bradenelswick5355', 'comment': 'Nuh uh', 'date': '2024-11-30T16:59:32Z'}, {'username': '@KyleLexi', 'comment': 'OK', 'date': '2024-11-30T16:59:32Z'}, {'username': '@NavinKumarKhande', 'comment': '🎉🎉🎉🎉🎉', 'date': '2024-11-30T16:59:32Z'}]",2024-11-30T16:59:32Z,@MrBeast,MARK DECEMBER 19TH ON YOUR CALENDAR BEAST GAMES WILL BLOW YOUR MIND,"[{'label': 'neutral', 'score': 0.9465941786766052}]"
❤❤❤❤❤,[],2024-12-06T06:33:12Z,@BRABODARIMASTAR,,"[{'label': 'Neutral', 'score': 1.0}]"
Siuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu uuuuuuuu,[],2024-12-06T06:30:05Z,@ThanhquyLý-d7v,Siuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu uuuuuuuu,"[{'label': 'anger', 'score': 0.971146285533905}]"
❤,[],2024-12-06T06:29:59Z,@SusanneKnudsen-wf9io,,"[{'label': 'Neutral', 'score': 1.0}]"
the goat is messi,[],2024-12-06T06:29:42Z,@FezaGanteng-u2b,the goat is messi,"[{'label': 'neutral', 'score': 0.9999244213104248}]"
大谷は誘えなかったのか😢,[],2024-12-06T06:28:59Z,@flix8153,大谷は誘えなかったのか,"[{'label': 'neutral', 'score': 0.9904300570487976}]"
THIS GUYSSS ISS CRAZYYYYYYYYYY,[],2024-12-06T06:28:24Z,@ermk1522,THIS GUYSSS ISS CRAZYYYYYYYYYY,"[{'label': 'neutral', 'score': 0.963494598865509}]"
Ronaldo  is the best player in the world and the kindest person in the world who agrees with me,[],2024-12-06T06:27:12Z,@moatazahmed8938,Ronaldo is the best player in the world and the kindest person in the world who agrees with me,"[{'label': 'neutral', 'score': 0.6216329336166382}]"
Афигеть❤,[],2024-12-06T06:27:03Z,@натуралпельмень,Афигеть,"[{'label': 'neutral', 'score': 0.8750454187393188}]"
😮😮😮,[],2024-12-06T06:25:27Z,@REDXFAIZ,,"[{'label': 'Neutral', 'score': 1.0}]"
Hoo crazy 🤣,[],2024-12-06T06:24:24Z,@vlog.ovo708,Hoo crazy,"[{'label': 'excitement', 'score': 0.9996305704116821}]"
last one is Ronaldo vs carryminati❤❤,[],2024-12-06T06:23:55Z,@bhaveshpatel4750,last one is Ronaldo vs carryminati,"[{'label': 'neutral', 'score': 0.9926601052284241}]"
انا من اكبر مشجعي كريستيانو لكني اكتشفت ان كريستيانو وهمي وصناعة اعلاميه وليس اسطوره يقوم بأشياء تلقائياً يهزمه شخص عادي رونالدو مجرد متصنع فاشل,[],2024-12-06T06:22:26Z,@الصديقالحقيقي-ش3ك,انا من اكبر مشجعي كريستيانو لكني اكتشفت ان كريستيانو وهمي وصناعة اعلاميه وليس اسطوره يقوم بأشياء تلقائيا يهزمه شخص عادي رونالدو مجرد متصنع فاشل,"[{'label': 'neutral', 'score': 0.9302331209182739}]"
"Cierto.  Un.  Chocolate.  Tullo
❤
22:45",[],2024-12-06T06:21:57Z,@heberdacol4767,Cierto Un Chocolate Tullo 2245,"[{'label': 'neutral', 'score': 0.9498773217201233}]"
Tara garden c block block block,[],2024-12-06T06:20:40Z,@azadarhussain2305,Tara garden c block block block,"[{'label': 'neutral', 'score': 0.9997574687004089}]"
ใครพากย์เสียงพี่โด้นะ😂,[],2024-12-06T06:20:14Z,@aofahaha2166,ใครพากยเสยงพโดนะ,"[{'label': 'neutral', 'score': 0.9972764849662781}]"
